user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend_hours,primary_device,household_size,created_at
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,Standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799
user_00014,adkinsbrian@example.net,Wesley,Brown,22.0,Male,USA,Pennsylvania,North Brooke,Basic,2023-10-18,True,25.19,Laptop,2.0,2024-04-28 09:41:18.589372
user_00017,josephpreston@example.net,Joseph,Robbins,25.0,Female,USA,Indiana,Williamview,Premium,2022-11-11,True,,Smart TV,1.0,2025-01-27 19:17:27.125271
user_00019,michael05@example.org,Elizabeth,Deleon,26.0,Other,USA,Ohio,East Michelle,Premium,2025-03-25,True,10.28,Mobile,7.0,2023-02-15 14:23:22.312820
user_00029,nperry@example.com,Rebecca,Gates,28.0,Female,USA,Washington,Smithstad,Basic,2024-11-04,True,12.06,Gaming Console,2.0,2024-03-14 19:25:44.085539
user_00030,brobinson@example.com,Paul,Ramsey,24.0,,USA,Indiana,New Amanda,Premium,2024-05-11,True,10.17,Laptop,4.0,2022-11-03 01:16:54.703949
user_00031,michellewhite@example.com,Mark,Murphy,26.0,Male,USA,Massachusetts,Karenchester,Premium+,2025-02-02,True,18.19,Tablet,2.0,2022-08-24 07:25:10.816748
user_00038,jacqueline44@example.com,David,Stewart,21.0,Female,USA,Indiana,East Joanna,Standard,2024-10-04,True,37.01,Mobile,,2025-07-12 10:27:16.332097
user_00041,michelle64@example.net,Chelsea,Meza,29.0,Female,Canada,Alberta,West Donna,Standard,2023-04-21,True,25.73,Laptop,2.0,2023-01-21 14:04:27.262786
user_00051,bowenrobert@example.net,Charles,Morgan,24.0,Other,USA,Washington,Port Markside,Premium,2025-06-12,False,19.09,Smart TV,2.0,2025-03-15 22:59:33.712787
user_00052,younggabrielle@example.com,Julie,Good,20.0,Male,Canada,Quebec,Jacksonport,Premium,2022-09-21,True,15.39,Tablet,3.0,2023-06-20 12:28:00.371124
user_00060,rgilbert@example.org,Jeff,Sampson,22.0,Male,USA,Tennessee,Lake Michaelstad,Premium,2023-10-12,True,19.03,Mobile,3.0,2025-06-28 22:53:58.331928
user_00061,batesdarlene@example.net,Brent,Sanchez,20.0,Male,USA,Pennsylvania,North Maria,Standard,2024-05-05,True,3.9,Gaming Console,2.0,2023-07-29 01:54:53.263816
user_00062,ramireztracey@example.org,Lauren,Guerrero,27.0,Female,USA,Washington,North Michael,Premium,2024-05-08,True,10.7,Desktop,1.0,2023-02-09 23:53:36.130333
user_00063,judyfox@example.net,Thomas,Palmer,26.0,,Canada,New Brunswick,Gordonton,Standard,2023-12-17,True,20.26,Gaming Console,2.0,2022-10-08 17:14:05.979190
user_00068,anthony44@example.com,Adam,Knight,30.0,Male,USA,Tennessee,East Joycetown,Basic,2024-10-27,False,,Tablet,1.0,2023-09-19 06:34:54.636386
user_00072,amckinney@example.com,Richard,Jackson,28.0,Female,USA,Michigan,Christopherville,Premium,2023-11-22,True,22.83,Tablet,2.0,2024-02-28 04:28:54.930079
user_00075,william47@example.com,Brian,Jones,29.0,Female,Canada,Newfoundland and Labrador,Fordside,Premium,2023-12-07,True,44.32,Smart TV,2.0,2023-07-21 08:58:17.519457
user_00076,susanhayes@example.com,William,Williams,26.0,Male,Canada,Nova Scotia,Warrenburgh,Standard,2023-09-14,True,13.91,Tablet,2.0,2023-10-01 13:41:38.272698
user_00079,chrisrichard@example.org,Ebony,Harper,30.0,Male,USA,Massachusetts,East Marie,Premium,2024-09-30,True,17.62,Tablet,,2023-10-27 06:09:22.208968
user_00080,wbishop@example.net,Jesus,Collins,21.0,Male,Canada,Manitoba,West Erika,Standard,2023-12-21,True,7.47,Gaming Console,1.0,2024-12-02 16:14:16.456250
user_00087,carterbradley@example.org,Leslie,Robertson,26.0,Female,USA,Tennessee,Benjaminborough,Standard,2023-08-28,True,14.46,Mobile,,2025-03-08 17:49:54.977021
user_00090,william20@example.org,Austin,Young,20.0,Male,USA,Missouri,Patrickshire,Standard,2024-05-26,True,22.14,Tablet,,2025-06-07 17:10:12.870864
user_00091,khines@example.org,Raymond,Wright,27.0,Female,Canada,Saskatchewan,Lake Jacobhaven,Basic,2025-04-29,True,5.81,Tablet,1.0,2023-05-16 21:42:24.422087
user_00092,nlewis@example.com,James,Farrell,20.0,Male,Canada,Quebec,Lake Sean,Premium,2025-01-06,True,6.55,Gaming Console,4.0,2024-08-03 20:03:43.876267
user_00096,colleenmendez@example.org,Brittany,Jackson,30.0,Male,USA,Michigan,Port Michelleland,Premium,2025-06-06,True,7.71,Desktop,1.0,2024-07-16 12:38:22.403597
user_00098,theresa25@example.net,Luis,Martinez,24.0,Female,USA,New Jersey,East Colin,Standard,2025-06-03,True,3.68,Gaming Console,1.0,2023-05-02 02:31:31.083905
user_00099,sarah53@example.org,Wendy,Jimenez,20.0,Female,USA,New York,Johnsonfurt,Premium,2025-06-26,False,14.89,Smart TV,4.0,2024-05-03 06:03:20.417259
user_00100,campbellcarla@example.net,Justin,Boone,22.0,Female,USA,North Carolina,West Jessica,Premium,2023-09-07,True,,Mobile,4.0,2022-09-28 03:00:00.905348
user_00105,whitney78@example.com,Sue,Barr,22.0,,USA,Florida,Ericaview,Basic,2023-02-28,True,31.37,Desktop,3.0,2023-06-04 18:48:05.535243
user_00109,amandasharp@example.org,Robert,Peck,24.0,Prefer not to say,USA,Indiana,Frenchburgh,Premium,2025-03-19,True,,Gaming Console,3.0,2023-06-26 00:35:44.648959
user_00115,jelliott@example.com,Jennifer,Scott,30.0,Male,Canada,British Columbia,New Charles,Basic,2023-08-14,True,19.82,Desktop,3.0,2024-03-18 00:49:13.493253
user_00121,jmelendez@example.com,Angela,Price,18.0,Male,USA,Texas,West Deborah,Premium,2025-02-15,True,1.08,Mobile,4.0,2024-03-11 23:26:59.638182
user_00133,andersonjacob@example.com,Dakota,Gomez,18.0,Female,Canada,Prince Edward Island,Michelletown,Standard,2023-10-29,True,2.83,Laptop,5.0,2024-10-05 07:06:49.482293
user_00137,nhahn@example.com,Marie,Fuentes,26.0,Female,USA,California,Taylorport,Basic,2023-05-05,False,2.86,Gaming Console,2.0,2024-09-24 18:27:49.933486
user_00146,antonio38@example.com,Kimberly,Dunn,29.0,Male,USA,Illinois,West Kimberlystad,Premium+,2024-11-11,False,23.27,Gaming Console,3.0,2024-03-23 17:17:50.159410
user_00147,fitzgeralddesiree@example.org,Nancy,Cole,30.0,Female,USA,Massachusetts,South Michelleville,Premium,2023-03-20,True,24.56,Smart TV,2.0,2025-03-03 12:55:51.174033
user_00149,riddlemichelle@example.org,John,Poole,18.0,Female,Canada,Newfoundland and Labrador,Thomasview,Standard,2023-09-17,True,2.54,Gaming Console,4.0,2024-06-27 08:22:44.150948
user_00151,troymorris@example.com,Amy,Knight,25.0,Male,USA,New York,Patriciaton,Premium,2022-11-19,True,5.53,Laptop,4.0,2022-08-20 21:50:51.015649
